t_start,t_end,category,severity,description
21.251911401748657,21.251911401748657,velocity_spike,2,High translational jerk / acceleration spike.
26.052804470062256,26.052804470062256,velocity_spike,2,High translational jerk / acceleration spike.
27.108014822006226,27.108014822006226,velocity_spike,2,High translational jerk / acceleration spike.
41.16707682609558,41.59198570251465,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
41.699976205825806,41.75995850563049,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
42.22193884849548,42.22193884849548,velocity_spike,2,High translational jerk / acceleration spike.
51.88203716278076,52.583991289138794,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
95.57383322715759,95.58597135543823,velocity_spike,2,High translational jerk / acceleration spike.
99.57592391967773,99.61346936225891,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
99.62402415275574,99.62402415275574,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
157.8000431060791,157.80007553100586,velocity_spike,2,High translational jerk / acceleration spike.
208.52378821372986,209.2504575252533,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
246.85789680480957,246.88209557533264,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
309.3718903064728,309.3718903064728,velocity_spike,2,High translational jerk / acceleration spike.
310.46392583847046,310.4757831096649,velocity_spike,2,High translational jerk / acceleration spike.
361.18792390823364,361.2010307312012,velocity_spike,2,High translational jerk / acceleration spike.
397.8119556903839,397.81800746917725,velocity_spike,2,High translational jerk / acceleration spike.
400.98578691482544,400.99192333221436,velocity_spike,2,High translational jerk / acceleration spike.
411.677757024765,411.689733505249,velocity_spike,2,High translational jerk / acceleration spike.
424.46975445747375,424.4757466316223,velocity_spike,2,High translational jerk / acceleration spike.
429.83390951156616,429.8458127975464,velocity_spike,2,High translational jerk / acceleration spike.
439.28993916511536,439.2959234714508,velocity_spike,2,High translational jerk / acceleration spike.
453.26977491378784,453.28173899650574,velocity_spike,2,High translational jerk / acceleration spike.
453.82176971435547,453.82181549072266,velocity_spike,2,High translational jerk / acceleration spike.
455.9577763080597,455.9577763080597,velocity_spike,2,High translational jerk / acceleration spike.
469.96775674819946,469.96775674819946,velocity_spike,2,High translational jerk / acceleration spike.
471.0238621234894,471.0238621234894,velocity_spike,2,High translational jerk / acceleration spike.
472.0977249145508,472.0977249145508,velocity_spike,2,High translational jerk / acceleration spike.
480.37776589393616,480.38986587524414,velocity_spike,2,High translational jerk / acceleration spike.
491.24987745285034,491.24987745285034,velocity_spike,2,High translational jerk / acceleration spike.
493.31374430656433,493.3257222175598,velocity_spike,2,High translational jerk / acceleration spike.
495.4617877006531,495.4617877006531,velocity_spike,2,High translational jerk / acceleration spike.
498.7077052593231,498.7137522697449,velocity_spike,2,High translational jerk / acceleration spike.
499.22982692718506,499.241721868515,velocity_spike,2,High translational jerk / acceleration spike.
500.3158130645752,500.3278172016144,velocity_spike,2,High translational jerk / acceleration spike.
510.9057171344757,510.9057831764221,velocity_spike,2,High translational jerk / acceleration spike.
515.6217041015625,515.6217250823975,velocity_spike,2,High translational jerk / acceleration spike.
516.6896984577179,516.689742565155,velocity_spike,2,High translational jerk / acceleration spike.
528.2940900325775,528.2940900325775,velocity_spike,2,High translational jerk / acceleration spike.
565.4997644424438,565.7456941604614,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
609.3837542533875,609.3837542533875,velocity_spike,2,High translational jerk / acceleration spike.
610.4878890514374,610.4878890514374,velocity_spike,2,High translational jerk / acceleration spike.
653.3457822799683,653.3458285331726,velocity_spike,2,High translational jerk / acceleration spike.
677.9158127307892,677.9158127307892,velocity_spike,2,High translational jerk / acceleration spike.
681.8942902088165,681.9418165683746,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
682.0497181415558,682.2116591930389,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
705.6597428321838,706.0017483234406,sharp_turn,2,High angular velocity (tight turn / aggressive reorientation).
763.1938049793243,763.1997532844543,velocity_spike,2,High translational jerk / acceleration spike.
